,Key,Profitability_data
237,"dfs_hour_(15, 5)_MARSI-UC1_ADANIGREEN",80.0
238,"dfs_hour_(15, 5)_MARSI-UC2_ADANIGREEN",64.29
239,"dfs_hour_(15, 5)_RSI_ADANIGREEN",35.11
240,"dfs_hour_(3, 1)_BB_ADANIGREEN",34.55
241,"dfs_hour_(3, 1)_BBRSI_ADANIGREEN",29.55
242,"dfs_hour_(3, 1)_BBRSI-UC_ADANIGREEN",32.7
243,"dfs_hour_(3, 1)_MA_ADANIGREEN",42.25
244,"dfs_hour_(3, 1)_MARSI-C_ADANIGREEN",28.57
245,"dfs_hour_(3, 1)_MARSI-UC1_ADANIGREEN",40.0
246,"dfs_hour_(3, 1)_MARSI-UC2_ADANIGREEN",40.0
247,"dfs_hour_(3, 1)_RSI_ADANIGREEN",34.53
248,"dfs_hour_(30, 10)_BB_ADANIGREEN",42.11
249,"dfs_hour_(30, 10)_BBRSI_ADANIGREEN",43.59
250,"dfs_hour_(30, 10)_BBRSI-UC_ADANIGREEN",42.11
251,"dfs_hour_(30, 10)_MA_ADANIGREEN",62.5
252,"dfs_hour_(30, 10)_MARSI-C_ADANIGREEN",75.0
253,"dfs_hour_(30, 10)_MARSI-UC1_ADANIGREEN",75.0
254,"dfs_hour_(30, 10)_MARSI-UC2_ADANIGREEN",63.64
255,"dfs_hour_(30, 10)_RSI_ADANIGREEN",40.48
256,"dfs_38minute_(1, 0.33)_BB_ADANIGREEN",37.99
257,"dfs_38minute_(1, 0.33)_BBRSI_ADANIGREEN",38.83
258,"dfs_38minute_(1, 0.33)_BBRSI-UC_ADANIGREEN",38.15
259,"dfs_38minute_(1, 0.33)_MA_ADANIGREEN",30.7
260,"dfs_38minute_(1, 0.33)_MARSI-C_ADANIGREEN",23.08
261,"dfs_38minute_(1, 0.33)_MARSI-UC1_ADANIGREEN",33.33
262,"dfs_38minute_(1, 0.33)_MARSI-UC2_ADANIGREEN",40.0
263,"dfs_38minute_(1, 0.33)_RSI_ADANIGREEN",33.33
264,"dfs_38minute_(15, 5)_BB_ADANIGREEN",32.18
265,"dfs_38minute_(15, 5)_BBRSI_ADANIGREEN",28.0
266,"dfs_38minute_(15, 5)_BBRSI-UC_ADANIGREEN",31.76
267,"dfs_38minute_(15, 5)_MA_ADANIGREEN",38.1
268,"dfs_38minute_(15, 5)_MARSI-C_ADANIGREEN",45.45
269,"dfs_38minute_(15, 5)_MARSI-UC1_ADANIGREEN",44.44
270,"dfs_38minute_(15, 5)_MARSI-UC2_ADANIGREEN",42.11
271,"dfs_38minute_(15, 5)_RSI_ADANIGREEN",34.26
272,"dfs_38minute_(3, 1)_BB_ADANIGREEN",29.82
273,"dfs_38minute_(3, 1)_BBRSI_ADANIGREEN",28.74
274,"dfs_38minute_(3, 1)_BBRSI-UC_ADANIGREEN",29.86
275,"dfs_38minute_(3, 1)_MA_ADANIGREEN",28.7
276,"dfs_38minute_(3, 1)_MARSI-C_ADANIGREEN",23.08
277,"dfs_38minute_(3, 1)_MARSI-UC1_ADANIGREEN",18.18
278,"dfs_38minute_(3, 1)_MARSI-UC2_ADANIGREEN",32.14
279,"dfs_38minute_(3, 1)_RSI_ADANIGREEN",30.33
280,"dfs_38minute_(30, 10)_BB_ADANIGREEN",39.53
281,"dfs_38minute_(30, 10)_BBRSI_ADANIGREEN",40.0
282,"dfs_38minute_(30, 10)_BBRSI-UC_ADANIGREEN",39.53
283,"dfs_38minute_(30, 10)_MA_ADANIGREEN",43.24
284,"dfs_38minute_(30, 10)_MARSI-C_ADANIGREEN",54.55
285,"dfs_38minute_(30, 10)_MARSI-UC1_ADANIGREEN",37.5
286,"dfs_38minute_(30, 10)_MARSI-UC2_ADANIGREEN",46.67
287,"dfs_38minute_(30, 10)_RSI_ADANIGREEN",44.19
288,"dfs_day_(1, 0.33)_BB_ADANIPORTS",57.41
289,"dfs_day_(1, 0.33)_BBRSI_ADANIPORTS",50.0
290,"dfs_day_(1, 0.33)_BBRSI-UC_ADANIPORTS",58.0
291,"dfs_day_(1, 0.33)_MA_ADANIPORTS",36.67
292,"dfs_day_(1, 0.33)_MARSI-C_ADANIPORTS",33.33
293,"dfs_day_(1, 0.33)_MARSI-UC1_ADANIPORTS",0.0
294,"dfs_day_(1, 0.33)_MARSI-UC2_ADANIPORTS",0.0
295,"dfs_day_(1, 0.33)_RSI_ADANIPORTS",42.27
296,"dfs_day_(15, 5)_BB_ADANIPORTS",29.03
297,"dfs_day_(15, 5)_BBRSI_ADANIPORTS",33.33
298,"dfs_day_(15, 5)_BBRSI-UC_ADANIPORTS",33.33
299,"dfs_day_(15, 5)_MA_ADANIPORTS",28.57
300,"dfs_day_(15, 5)_MARSI-C_ADANIPORTS",66.67
301,"dfs_day_(15, 5)_MARSI-UC1_ADANIPORTS",50.0
302,"dfs_day_(15, 5)_MARSI-UC2_ADANIPORTS",20.0
303,"dfs_day_(15, 5)_RSI_ADANIPORTS",36.11
304,"dfs_day_(3, 1)_BB_ADANIPORTS",46.94
305,"dfs_day_(3, 1)_BBRSI_ADANIPORTS",40.0
306,"dfs_day_(3, 1)_BBRSI-UC_ADANIPORTS",47.83
307,"dfs_day_(3, 1)_MA_ADANIPORTS",26.67
308,"dfs_day_(3, 1)_MARSI-C_ADANIPORTS",0.0
309,"dfs_day_(3, 1)_MARSI-UC1_ADANIPORTS",0.0
310,"dfs_day_(3, 1)_MARSI-UC2_ADANIPORTS",20.0
311,"dfs_day_(3, 1)_RSI_ADANIPORTS",36.84
312,"dfs_day_(30, 10)_BB_ADANIPORTS",38.46
313,"dfs_day_(30, 10)_BBRSI_ADANIPORTS",30.77
314,"dfs_day_(30, 10)_BBRSI-UC_ADANIPORTS",38.46
315,"dfs_day_(30, 10)_MA_ADANIPORTS",33.33
316,"dfs_day_(30, 10)_MARSI-C_ADANIPORTS",66.67
317,"dfs_day_(30, 10)_MARSI-UC1_ADANIPORTS",100.0
318,"dfs_day_(30, 10)_MARSI-UC2_ADANIPORTS",40.0
319,"dfs_day_(30, 10)_RSI_ADANIPORTS",36.84
320,"dfs_hour_(1, 0.33)_BB_ADANIPORTS",39.07
321,"dfs_hour_(1, 0.33)_BBRSI_ADANIPORTS",35.04
322,"dfs_hour_(1, 0.33)_BBRSI-UC_ADANIPORTS",39.9
323,"dfs_hour_(1, 0.33)_MA_ADANIPORTS",37.82
324,"dfs_hour_(1, 0.33)_MARSI-C_ADANIPORTS",57.14
325,"dfs_hour_(1, 0.33)_MARSI-UC1_ADANIPORTS",46.67
326,"dfs_hour_(1, 0.33)_MARSI-UC2_ADANIPORTS",44.19
327,"dfs_hour_(1, 0.33)_RSI_ADANIPORTS",37.19
328,"dfs_hour_(15, 5)_BB_ADANIPORTS",36.99
329,"dfs_hour_(15, 5)_BBRSI_ADANIPORTS",36.76
330,"dfs_hour_(15, 5)_BBRSI-UC_ADANIPORTS",36.99
331,"dfs_hour_(15, 5)_MA_ADANIPORTS",40.74
332,"dfs_hour_(15, 5)_MARSI-C_ADANIPORTS",30.0
333,"dfs_hour_(15, 5)_MARSI-UC1_ADANIPORTS",23.08
334,"dfs_hour_(15, 5)_MARSI-UC2_ADANIPORTS",24.14
335,"dfs_hour_(15, 5)_RSI_ADANIPORTS",35.71
336,"dfs_hour_(3, 1)_BB_ADANIPORTS",34.87
337,"dfs_hour_(3, 1)_BBRSI_ADANIPORTS",32.6
338,"dfs_hour_(3, 1)_BBRSI-UC_ADANIPORTS",35.55
339,"dfs_hour_(3, 1)_MA_ADANIPORTS",35.86
340,"dfs_hour_(3, 1)_MARSI-C_ADANIPORTS",71.43
341,"dfs_hour_(3, 1)_MARSI-UC1_ADANIPORTS",30.77
342,"dfs_hour_(3, 1)_MARSI-UC2_ADANIPORTS",28.21
343,"dfs_hour_(3, 1)_RSI_ADANIPORTS",33.92
344,"dfs_hour_(30, 10)_BB_ADANIPORTS",39.13
345,"dfs_hour_(30, 10)_BBRSI_ADANIPORTS",37.5
346,"dfs_hour_(30, 10)_BBRSI-UC_ADANIPORTS",39.13
347,"dfs_hour_(30, 10)_MA_ADANIPORTS",46.67
348,"dfs_hour_(30, 10)_MARSI-C_ADANIPORTS",42.86
349,"dfs_hour_(30, 10)_MARSI-UC1_ADANIPORTS",40.0
350,"dfs_hour_(30, 10)_MARSI-UC2_ADANIPORTS",33.33
351,"dfs_hour_(30, 10)_RSI_ADANIPORTS",37.5
352,"dfs_38minute_(1, 0.33)_BB_ADANIPORTS",34.41
353,"dfs_38minute_(1, 0.33)_BBRSI_ADANIPORTS",36.27
354,"dfs_38minute_(1, 0.33)_BBRSI-UC_ADANIPORTS",34.27
355,"dfs_38minute_(1, 0.33)_MA_ADANIPORTS",36.92
356,"dfs_38minute_(1, 0.33)_MARSI-C_ADANIPORTS",35.71
357,"dfs_38minute_(1, 0.33)_MARSI-UC1_ADANIPORTS",31.43
358,"dfs_38minute_(1, 0.33)_MARSI-UC2_ADANIPORTS",36.76
359,"dfs_38minute_(1, 0.33)_RSI_ADANIPORTS",37.74
360,"dfs_38minute_(15, 5)_BB_ADANIPORTS",37.23
361,"dfs_38minute_(15, 5)_BBRSI_ADANIPORTS",35.23
362,"dfs_38minute_(15, 5)_BBRSI-UC_ADANIPORTS",37.23
363,"dfs_38minute_(15, 5)_MA_ADANIPORTS",37.88
364,"dfs_38minute_(15, 5)_MARSI-C_ADANIPORTS",25.0
365,"dfs_38minute_(15, 5)_MARSI-UC1_ADANIPORTS",36.36
366,"dfs_38minute_(15, 5)_MARSI-UC2_ADANIPORTS",46.88
367,"dfs_38minute_(15, 5)_RSI_ADANIPORTS",34.78
368,"dfs_38minute_(3, 1)_BB_ADANIPORTS",31.55
369,"dfs_38minute_(3, 1)_BBRSI_ADANIPORTS",31.61
370,"dfs_38minute_(3, 1)_BBRSI-UC_ADANIPORTS",32.67
371,"dfs_38minute_(3, 1)_MA_ADANIPORTS",31.79
372,"dfs_38minute_(3, 1)_MARSI-C_ADANIPORTS",21.43
373,"dfs_38minute_(3, 1)_MARSI-UC1_ADANIPORTS",26.67
374,"dfs_38minute_(3, 1)_MARSI-UC2_ADANIPORTS",38.18
375,"dfs_38minute_(3, 1)_RSI_ADANIPORTS",32.56
376,"dfs_38minute_(30, 10)_BB_ADANIPORTS",39.29
377,"dfs_38minute_(30, 10)_BBRSI_ADANIPORTS",40.0
378,"dfs_38minute_(30, 10)_BBRSI-UC_ADANIPORTS",39.29
379,"dfs_38minute_(30, 10)_MA_ADANIPORTS",45.0
380,"dfs_38minute_(30, 10)_MARSI-C_ADANIPORTS",33.33
381,"dfs_38minute_(30, 10)_MARSI-UC1_ADANIPORTS",35.71
382,"dfs_38minute_(30, 10)_MARSI-UC2_ADANIPORTS",35.71
383,"dfs_38minute_(30, 10)_RSI_ADANIPORTS",38.46
384,"dfs_day_(1, 0.33)_BB_AMBUJACEM",44.44
385,"dfs_day_(1, 0.33)_BBRSI_AMBUJACEM",43.75
386,"dfs_day_(1, 0.33)_BBRSI-UC_AMBUJACEM",45.1
387,"dfs_day_(1, 0.33)_MA_AMBUJACEM",34.62
388,"dfs_day_(1, 0.33)_MARSI-C_AMBUJACEM",100.0
389,"dfs_day_(1, 0.33)_MARSI-UC1_AMBUJACEM",0.0
390,"dfs_day_(1, 0.33)_MARSI-UC2_AMBUJACEM",40.0
391,"dfs_day_(1, 0.33)_RSI_AMBUJACEM",56.79
392,"dfs_day_(15, 5)_BB_AMBUJACEM",26.92
393,"dfs_day_(15, 5)_BBRSI_AMBUJACEM",41.18
394,"dfs_day_(15, 5)_BBRSI-UC_AMBUJACEM",28.0
395,"dfs_day_(15, 5)_MA_AMBUJACEM",29.41
396,"dfs_day_(15, 5)_MARSI-C_AMBUJACEM",0.0
397,"dfs_day_(15, 5)_MARSI-UC1_AMBUJACEM",0.0
