,Key,Entry_data
283,"dfs_38minute_(30, 10)_MA_ADANIGREEN",37
284,"dfs_38minute_(30, 10)_MARSI-C_ADANIGREEN",11
285,"dfs_38minute_(30, 10)_MARSI-UC1_ADANIGREEN",8
286,"dfs_38minute_(30, 10)_MARSI-UC2_ADANIGREEN",15
287,"dfs_38minute_(30, 10)_RSI_ADANIGREEN",43
288,"dfs_day_(1, 0.33)_BB_ADANIPORTS",54
289,"dfs_day_(1, 0.33)_BBRSI_ADANIPORTS",32
290,"dfs_day_(1, 0.33)_BBRSI-UC_ADANIPORTS",50
291,"dfs_day_(1, 0.33)_MA_ADANIPORTS",30
292,"dfs_day_(1, 0.33)_MARSI-C_ADANIPORTS",3
293,"dfs_day_(1, 0.33)_MARSI-UC1_ADANIPORTS",3
294,"dfs_day_(1, 0.33)_MARSI-UC2_ADANIPORTS",6
295,"dfs_day_(1, 0.33)_RSI_ADANIPORTS",97
296,"dfs_day_(15, 5)_BB_ADANIPORTS",31
297,"dfs_day_(15, 5)_BBRSI_ADANIPORTS",24
298,"dfs_day_(15, 5)_BBRSI-UC_ADANIPORTS",30
299,"dfs_day_(15, 5)_MA_ADANIPORTS",21
300,"dfs_day_(15, 5)_MARSI-C_ADANIPORTS",3
301,"dfs_day_(15, 5)_MARSI-UC1_ADANIPORTS",2
302,"dfs_day_(15, 5)_MARSI-UC2_ADANIPORTS",5
303,"dfs_day_(15, 5)_RSI_ADANIPORTS",36
304,"dfs_day_(3, 1)_BB_ADANIPORTS",49
305,"dfs_day_(3, 1)_BBRSI_ADANIPORTS",30
306,"dfs_day_(3, 1)_BBRSI-UC_ADANIPORTS",46
307,"dfs_day_(3, 1)_MA_ADANIPORTS",30
308,"dfs_day_(3, 1)_MARSI-C_ADANIPORTS",3
309,"dfs_day_(3, 1)_MARSI-UC1_ADANIPORTS",2
310,"dfs_day_(3, 1)_MARSI-UC2_ADANIPORTS",5
311,"dfs_day_(3, 1)_RSI_ADANIPORTS",76
312,"dfs_day_(30, 10)_BB_ADANIPORTS",13
313,"dfs_day_(30, 10)_BBRSI_ADANIPORTS",13
314,"dfs_day_(30, 10)_BBRSI-UC_ADANIPORTS",13
315,"dfs_day_(30, 10)_MA_ADANIPORTS",9
316,"dfs_day_(30, 10)_MARSI-C_ADANIPORTS",3
317,"dfs_day_(30, 10)_MARSI-UC1_ADANIPORTS",2
318,"dfs_day_(30, 10)_MARSI-UC2_ADANIPORTS",5
319,"dfs_day_(30, 10)_RSI_ADANIPORTS",19
320,"dfs_hour_(1, 0.33)_BB_ADANIPORTS",389
321,"dfs_hour_(1, 0.33)_BBRSI_ADANIPORTS",274
322,"dfs_hour_(1, 0.33)_BBRSI-UC_ADANIPORTS",381
323,"dfs_hour_(1, 0.33)_MA_ADANIPORTS",156
